"turnover_count","x","y","distance_ball_moved","ball_movement_speed","percent_distance","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","play_pattern.name","pass.type.name","right_option","front_option","left_option","back_option","player.name","match_id","position_group","team.name","x_end","y_end","xTurnover","predicted_turnover","cv_fold","risk_category","correct_prediction"
0,26.2,60.6,11.06752,10.82434,-9.200709,-2.143763,1,1,1,"Regular Play","",0,0,1,1,"Player_3318",3764295,"WG","Team_39",20.2,51.3,0.195066832678071,0,1,"Non-High Risk",TRUE
0,85.1,18.1,14.68639,14.20206,-11.74954,-0.7034565,1,0,1,"From Free Kick","Recovery",1,1,0,1,"Player_3467",3764295,"FB","Team_34",96.3,8.6,0.414480742111326,0,5,"Non-High Risk",TRUE
0,75.1,2.5,11.70684,12.66782,-8.235937,-3.107418,1,0,2,"From Free Kick","",0,0,0,1,"Player_10967",3764295,"WG","Team_34",63.4,2.1,0.444557755642746,0,3,"Non-High Risk",TRUE
0,65.8,1.1,27.82121,17.35701,-6.473804,2.618434,0,1,1,"From Free Kick","",1,1,0,1,"Player_9607",3764295,"DM","Team_34",41.7,15,0.150055909462928,0,5,"Non-High Risk",TRUE
0,42.8,10.4,14.26359,15.01737,1.99177,-0.6210645,0,0,1,"From Free Kick","",1,1,1,0,"Player_3663",3764295,"CB","Team_34",54.4,2.1,0.0708812983503505,0,1,"Non-High Risk",TRUE
1,53.8,4,44.1725,17.48264,26.1472,0.08840533,0,0,2,"From Free Kick","",1,1,0,1,"Player_9607",3764295,"DM","Team_34",97.8,7.9,0.306054416027906,0,5,"Non-High Risk",FALSE
1,91.2,9.7,11.25877,8.603587,6.577982,0.2148154,1,0,4,"From Throw In","",1,0,0,1,"Player_3661",3764295,"ST","Team_34",102.2,12.1,0.294308102034187,0,1,"Non-High Risk",FALSE
0,56.5,26.7,13.40597,8.770928,-14.34536,-1.540955,0,0,1,"From Throw In","Recovery",1,1,1,0,"Player_3628",3764295,"CB","Team_34",56.9,13.3,0.123248277721178,0,2,"Non-High Risk",TRUE
0,63.5,6.2,32.30248,16.33326,16.59802,0.01238327,1,0,2,"From Throw In","",1,1,1,1,"Player_3663",3764295,"CB","Team_34",95.8,6.6,0.208422070741306,0,1,"Non-High Risk",TRUE
0,29.8,77.7,6.870953,5.685141,8.766862,-0.3723984,4,0,4,"Regular Play","",0,0,1,1,"Player_3690",3764295,"FB","Team_39",36.2,75.2,0.261824409371919,0,4,"Non-High Risk",TRUE
0,29.8,77.7,6.870953,5.685141,8.766862,-0.3723984,4,0,4,"Regular Play","",0,0,1,1,"Player_3690",3764295,"FB","Team_39",36.2,75.2,0.296375702522132,0,1,"Non-High Risk",TRUE
0,37.5,72.2,13.50592,8.428339,-1.335776,-1.600417,0,2,1,"Regular Play","",0,1,1,1,"Player_3318",3764295,"WG","Team_39",37.1,58.7,0.146296206358589,0,2,"Non-High Risk",TRUE
0,37.1,58.7,35.80964,14.26997,-15.47445,-1.492525,0,0,1,"Regular Play","",1,1,1,1,"Player_20004",3764295,"DM","Team_39",39.9,23,0.0681789735013714,0,5,"Non-High Risk",TRUE
0,47,10.5,10.05684,12.57389,4.670831,1.905125,0,1,0,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",43.7,20,0.0556002158418306,0,3,"Non-High Risk",TRUE
0,46.8,18.4,17.85497,9.588585,-3.057543,2.292788,0,1,2,"Regular Play","",1,1,1,1,"Player_3381",3764295,"DM","Team_39",35,31.8,0.0395948199024681,0,4,"Non-High Risk",TRUE
0,35,31.8,14.30035,13.71456,17.76274,0.290787,0,0,0,"Regular Play","",1,1,1,0,"Player_3336",3764295,"CB","Team_39",48.7,35.9,0.0323443290195183,0,2,"Non-High Risk",TRUE
0,47.4,40.7,24.06512,14.78258,-8.344685,2.054887,0,1,2,"Regular Play","",1,1,0,1,"Player_20004",3764295,"DM","Team_39",36.2,62,0.0887283420151411,0,3,"Non-High Risk",TRUE
0,36.2,69.8,21.19835,17.72609,26.61531,-0.4699766,0,1,0,"Regular Play","",1,1,1,0,"Player_3324",3764295,"CB","Team_39",55.1,60.2,0.0807032936145994,0,2,"Non-High Risk",TRUE
0,55.7,60.2,10.65505,7.90788,15.73479,-0.5098332,1,1,2,"Regular Play","",1,0,0,1,"Player_5204",3764295,"AM","Team_39",65,55,0.169034941315517,0,1,"Non-High Risk",TRUE
1,65.9,55.8,1.236932,10.31972,1.53807,1.325818,1,0,3,"Regular Play","",0,0,1,1,"Player_3318",3764295,"WG","Team_39",66.2,57,0.0970552907029123,0,3,"Non-High Risk",FALSE
0,53.8,21.9,13.00615,8.171577,-14.38175,3.110833,1,1,1,"Regular Play","",1,1,1,1,"Player_3663",3764295,"CB","Team_34",40.8,22.3,0.0348795213362583,0,5,"Non-High Risk",TRUE
0,40.8,22.3,29.01103,12.08799,-31.27656,3.114013,0,1,1,"Regular Play","",1,1,0,1,"Player_3467",3764295,"FB","Team_34",11.8,23.1,0.0759514825710682,0,1,"Non-High Risk",TRUE
1,77.4,53.9,26.63006,16.37105,28.34128,-0.305125,0,1,0,"From Free Kick","",0,1,1,0,"Player_4620",3764295,"FB","Team_34",102.8,45.9,0.318395621469538,0,2,"Non-High Risk",FALSE
1,51,35.7,14.30105,5.638784,4.127839,-0.7359336,1,0,3,"From Goal Kick","Recovery",0,1,0,1,"Player_3663",3764295,"CB","Team_34",61.6,26.1,0.517836818786408,1,1,"High Risk",TRUE
0,55.2,33.6,13.30902,20.6878,13.15352,1.442713,2,1,5,"From Goal Kick","",1,0,0,1,"Player_10967",3764295,"WG","Team_34",56.9,46.8,0.698641234997441,1,3,"High Risk",FALSE
0,63.6,10.7,12.43262,13.03328,13.32814,0.2937681,1,0,1,"From Free Kick","",1,1,0,1,"Player_3381",3764295,"DM","Team_39",75.5,14.3,0.106460925977416,0,4,"Non-High Risk",TRUE
0,34.8,24.6,33.58586,13.05255,11.22047,1.642316,0,0,1,"From Free Kick","",1,1,0,0,"Player_3336",3764295,"CB","Team_39",32.4,58.1,0.123045357916597,0,2,"Non-High Risk",TRUE
0,32.4,58.1,26.55598,15.65262,-16.62481,-1.756376,0,0,1,"From Free Kick","",1,1,1,1,"Player_3324",3764295,"CB","Team_39",27.5,32,0.0889882079991676,0,1,"Non-High Risk",TRUE
0,28.8,32.3,21.37756,13.06847,-2.753532,-1.115517,0,0,0,"From Free Kick","",1,1,1,1,"Player_3336",3764295,"CB","Team_39",38.2,13.1,0.0681268228443391,0,1,"Non-High Risk",TRUE
0,37.5,10.1,17.47713,9.970948,4.137679,1.970429,0,1,0,"From Free Kick","",1,1,0,1,"Player_3381",3764295,"DM","Team_39",30.7,26.2,0.0737722006107696,0,4,"Non-High Risk",TRUE
0,40.5,24.6,29.08694,14.57402,-1.333556,-0.8267371,0,1,0,"From Free Kick","",1,1,1,1,"Player_3336",3764295,"CB","Team_39",60.2,3.2,0.117914838530561,0,2,"Non-High Risk",TRUE
0,64.5,12.4,16.3233,10.95964,2.864701,-0.3896074,0,0,3,"From Free Kick","",1,1,1,0,"Player_3381",3764295,"DM","Team_39",79.6,6.2,0.0513677360065467,0,3,"Non-High Risk",TRUE
1,79.6,6.2,22.75478,21.76945,31.93939,0.891251,0,0,1,"From Free Kick","",1,1,0,0,"Player_3382",3764295,"FB","Team_39",93.9,23.9,0.233817187097671,0,4,"Non-High Risk",FALSE
1,26.2,56.2,52.73111,15.1731,66.04955,0.1121232,1,1,1,"From Free Kick","Recovery",1,1,1,1,"Player_3628",3764295,"CB","Team_34",78.6,62.1,0.744686793314705,1,5,"High Risk",TRUE
