"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"169",0,86.7,3,"From Free Kick",10.60047,11.96947,-5.208041,"",3.132159,1,0,3,1,0,0,1,"Player_10967",3764295,"WG"
"170",0,70.5,3.1,"From Free Kick",27.90627,12.17741,-7.959748,"",2.68115,0,1,0,1,1,0,0,"Player_3467",3764295,"FB"
"171",0,45.5,15.5,"From Free Kick",25.15631,9.368589,14.17887,"",1.682332,0,0,1,1,1,1,0,"Player_3663",3764295,"CB"
"172",0,42.7,40.5,"From Free Kick",11.20402,11.33002,14.57705,"",-0.02677931,0,0,2,1,1,1,1,"Player_3628",3764295,"CB"
"173",0,53.2,39.9,"From Free Kick",29.48033,19.68501,21.07924,"",1.390033,1,0,2,1,0,1,1,"Player_3583",3764295,"DM"
"174",1,78.4,71.7,"From Free Kick",52.06006,16.75736,-16.96687,"",-0.6450378,0,1,0,0,1,1,1,"Player_4620",3764295,"FB"
"175",0,13.5,40.7,"From Goal Kick",18.96787,14.91518,12.22827,"",-0.5368029,0,0,0,1,1,0,1,"Player_3336",3764295,"CB"
"176",0,35.3,26.9,"From Goal Kick",22.60465,18.70061,-2.533767,"",-0.9901556,0,1,2,1,1,1,1,"Player_3381",3764295,"DM"
"177",1,46.5,8.3,"From Goal Kick",2.256103,45.49787,2.258505,"",0.2234766,1,0,1,1,1,0,1,"Player_5204",3764295,"AM"
"178",0,12.1,16.2,"From Goal Kick",11.17229,11.21136,2.345775,"Recovery",-0.7853982,0,1,0,1,1,1,1,"Player_3336",3764295,"CB"
"179",0,20,8.3,"From Goal Kick",7.043437,9.378956,6.490545,"",0.8960554,0,1,1,1,1,0,1,"Player_3382",3764295,"FB"
"180",0,24.4,13.8,"From Goal Kick",12.69055,11.61077,2.613928,"",-0.7128997,0,1,2,0,1,1,1,"Player_3381",3764295,"DM"
